Running brilcalc
brilcalc lumi -b STABLE BEAMS --normtag /cms/ldap_home/jhgoh/.lumiCalc/Normtags/normtag_BRIL.json -i ../LumiJSON/Cert_314472-318876_13TeV_PromptReco_Collisions18_JSON_MuonPhys.txt -u /pb -c /cvmfs/cms.cern.ch/SITECONF/local/JobConfig/site-local-config.xml
#Data tag : 19v2 , Norm tag: composite
+-------------+-------------------+------+------+----------------+---------------+
| run:fill    | time              | nls  | ncms | delivered(/pb) | recorded(/pb) |
+-------------+-------------------+------+------+----------------+---------------+
| 315257:6615 | 04/26/18 21:09:40 | 90   | 90   | 8.362897590    | 7.988146263   |
| 315259:6615 | 04/26/18 21:54:51 | 172  | 172  | 14.396555198   | 14.026970575  |
| 315264:6616 | 04/27/18 02:45:32 | 230  | 230  | 41.597328306   | 39.869621957  |
| 315265:6616 | 04/27/18 04:20:05 | 55   | 55   | 9.356059372    | 6.478700977   |
| 315267:6616 | 04/27/18 04:59:11 | 244  | 244  | 38.354409972   | 37.275147158  |
| 315270:6616 | 04/27/18 06:44:15 | 633  | 633  | 81.088946344   | 79.298342357  |
| 315322:6617 | 04/27/18 14:41:34 | 1329 | 1329 | 185.307649749  | 181.072674063 |
| 315339:6618 | 04/28/18 03:06:24 | 618  | 618  | 96.256090236   | 93.899149234  |
| 315357:6620 | 04/28/18 19:32:25 | 776  | 776  | 156.690028676  | 152.720528378 |
| 315361:6621 | 04/29/18 03:17:57 | 580  | 580  | 123.222917801  | 119.234557637 |
| 315363:6621 | 04/29/18 07:08:34 | 136  | 136  | 22.952991740   | 18.829627342  |
| 315365:6621 | 04/29/18 08:24:50 | 25   | 25   | 4.097502766    | 3.969358781   |
| 315366:6621 | 04/29/18 08:40:00 | 750  | 750  | 104.750156396  | 103.128074337 |
| 315420:6624 | 04/29/18 23:54:09 | 1707 | 1707 | 265.947940990  | 260.315327213 |
| 315488:6628 | 04/30/18 19:08:38 | 1072 | 1072 | 247.782309130  | 239.244044366 |
| 315489:6628 | 05/01/18 02:09:59 | 709  | 709  | 108.357704751  | 106.510792621 |
| 315490:6628 | 05/01/18 06:53:23 | 24   | 24   | 2.570589547    | 2.536926177   |
| 315506:6629 | 05/01/18 10:08:39 | 88   | 88   | 29.470791118   | 28.002442546  |
| 315509:6629 | 05/01/18 10:46:52 | 53   | 53   | 17.693230963   | 16.988674649  |
| 315510:6629 | 05/01/18 11:10:29 | 345  | 345  | 106.868301242  | 103.226545950 |
| 315512:6629 | 05/01/18 13:27:08 | 1122 | 1122 | 241.728019425  | 237.287024479 |
| 315543:6633 | 05/02/18 04:09:49 | 117  | 117  | 37.944258772   | 36.967794404  |
| 315555:6636 | 05/02/18 09:42:48 | 76   | 76   | 24.369382027   | 21.991811071  |
| 315556:6636 | 05/02/18 10:15:53 | 26   | 26   | 8.987356397    | 8.405493977   |
| 315557:6636 | 05/02/18 10:30:09 | 279  | 279  | 86.395414613   | 84.254396788  |
| 315640:6638 | 05/02/18 21:31:41 | 42   | 42   | 14.898039145   | 10.493342872  |
| 315641:6638 | 05/02/18 21:56:12 | 4    | 4    | 1.522031453    | 1.235417157   |
| 315642:6638 | 05/02/18 22:03:16 | 92   | 92   | 32.665481145   | 31.383754466  |
| 315644:6638 | 05/02/18 22:42:00 | 184  | 184  | 64.707464371   | 63.082982514  |
| 315645:6638 | 05/02/18 23:58:43 | 594  | 594  | 168.185069233  | 164.215866776 |
| 315646:6638 | 05/03/18 03:51:56 | 1033 | 1033 | 195.758417390  | 192.271333919 |
| 315647:6638 | 05/03/18 10:38:46 | 58   | 58   | 8.691917257    | 8.040766217   |
| 315648:6638 | 05/03/18 11:04:01 | 110  | 110  | 15.561410041   | 15.272921207  |
| 315689:6639 | 05/03/18 14:58:22 | 1163 | 1163 | 349.979783465  | 340.354025626 |
| 315690:6639 | 05/03/18 22:35:38 | 654  | 654  | 123.166978254  | 120.975747907 |
| 315702:6640 | 05/04/18 08:08:15 | 76   | 76   | 24.449428858   | 22.713028878  |
| 315703:6640 | 05/04/18 08:40:27 | 545  | 545  | 162.826352724  | 157.422455589 |
| 315704:6640 | 05/04/18 12:15:58 | 61   | 61   | 15.121647422   | 14.694863650  |
| 315705:6640 | 05/04/18 12:42:46 | 700  | 700  | 134.890432203  | 132.638616526 |
| 315713:6641 | 05/04/18 19:35:25 | 1061 | 1061 | 364.008543498  | 352.050154448 |
| 315721:6642 | 05/05/18 05:08:14 | 594  | 594  | 220.045368390  | 212.057773602 |
| 315741:6643 | 05/05/18 11:57:43 | 59   | 59   | 25.142071301   | 23.645020901  |
| 315764:6645 | 05/05/18 15:48:29 | 273  | 273  | 118.904466412  | 113.818469254 |
| 315770:6646 | 05/06/18 02:20:23 | 294  | 294  | 125.977700359  | 121.565880988 |
| 315784:6648 | 05/06/18 11:07:00 | 172  | 172  | 71.596121751   | 68.827887874  |
| 315785:6648 | 05/06/18 12:23:07 | 303  | 303  | 109.297594648  | 105.891360061 |
| 315786:6648 | 05/06/18 14:25:10 | 72   | 72   | 22.711975279   | 21.842011718  |
| 315790:6648 | 05/06/18 18:12:51 | 922  | 922  | 177.688461912  | 173.918321166 |
| 315800:6650 | 05/07/18 06:55:20 | 611  | 611  | 222.695195825  | 215.325228286 |
| 315801:6650 | 05/07/18 10:57:12 | 344  | 344  | 101.185353089  | 98.580802066  |
| 315840:6654 | 05/07/18 21:19:16 | 1122 | 1122 | 364.343084694  | 354.020709607 |
| 315973:6659 | 05/08/18 23:33:11 | 876  | 876  | 293.741366297  | 286.223486928 |
| 315974:6659 | 05/09/18 05:17:09 | 71   | 71   | 19.106196580   | 18.557497677  |
| 316058:6662 | 05/09/18 20:47:16 | 364  | 364  | 142.520682773  | 136.971405276 |
| 316059:6662 | 05/09/18 23:10:21 | 566  | 566  | 178.441401401  | 170.482891422 |
| 316060:6662 | 05/10/18 02:53:15 | 935  | 935  | 204.577182673  | 199.124258913 |
| 316061:6662 | 05/10/18 09:00:15 | 36   | 36   | 6.291980439    | 6.183646380   |
| 316062:6662 | 05/10/18 10:24:04 | 4    | 4    | 0.713404118    | 0.701914264   |
| 316082:6663 | 05/10/18 12:45:58 | 371  | 371  | 145.662428684  | 141.188931253 |
| 316110:6666 | 05/10/18 21:22:27 | 210  | 210  | 84.555105064   | 81.865478328  |
| 316111:6666 | 05/10/18 22:46:45 | 48   | 48   | 17.650195935   | 15.152169599  |
| 316113:6666 | 05/10/18 23:16:41 | 64   | 64   | 22.305906069   | 20.485890699  |
| 316114:6666 | 05/10/18 23:42:59 | 1561 | 1561 | 378.433852342  | 368.764598208 |
| 316151:6672 | 05/11/18 16:55:23 | 1    | 1    | 0.429768497    | 0.092991180   |
| 316153:6672 | 05/11/18 17:03:13 | 770  | 770  | 263.564773815  | 256.235658122 |
| 316186:6674 | 05/12/18 03:00:17 | 44   | 44   | 17.113000677   | 15.128144632  |
| 316187:6674 | 05/12/18 03:18:33 | 1970 | 1970 | 535.272414980  | 513.077588831 |
| 316199:6675 | 05/12/18 18:55:11 | 1165 | 1165 | 416.222314883  | 401.855260927 |
| 316200:6675 | 05/13/18 02:29:14 | 10   | 10   | 2.640336446    | 2.229959354   |
| 316201:6675 | 05/13/18 02:36:34 | 498  | 498  | 116.282861559  | 110.400049764 |
| 316202:6675 | 05/13/18 05:53:19 | 403  | 403  | 77.765606370   | 75.427519078  |
| 316216:6677 | 05/13/18 11:57:38 | 442  | 442  | 179.173652949  | 171.395183014 |
| 316217:6677 | 05/13/18 15:05:03 | 264  | 264  | 91.474867686   | 88.190877667  |
| 316218:6677 | 05/13/18 16:52:47 | 1023 | 1023 | 253.946067567  | 246.611812379 |
| 316219:6677 | 05/13/18 23:33:19 | 283  | 283  | 50.669883541   | 49.252448940  |
| 316239:6681 | 05/14/18 05:52:32 | 589  | 589  | 217.646631308  | 209.246690511 |
| 316240:6681 | 05/14/18 09:45:29 | 1224 | 1224 | 294.573329055  | 284.669948971 |
| 316241:6681 | 05/14/18 17:44:39 | 325  | 325  | 55.642065559   | 53.526825014  |
| 316271:6683 | 05/15/18 00:23:54 | 86   | 86   | 32.114885351   | 29.742518720  |
| 316361:6688 | 05/15/18 17:14:35 | 202  | 202  | 30.823127827   | 27.563371955  |
| 316362:6688 | 05/15/18 18:35:04 | 450  | 450  | 59.521529050   | 57.022005067  |
| 316363:6688 | 05/15/18 21:30:58 | 49   | 49   | 5.032940401    | 4.686449333   |
| 316377:6690 | 05/16/18 01:56:02 | 22   | 22   | 3.435521387    | 2.116355333   |
| 316378:6690 | 05/16/18 02:06:22 | 29   | 29   | 6.286023448    | 3.377284577   |
| 316379:6690 | 05/16/18 02:20:12 | 70   | 70   | 14.726951065   | 8.298316872   |
| 316380:6690 | 05/16/18 02:51:00 | 1213 | 1213 | 182.171464864  | 178.050959459 |
| 316455:6693 | 05/16/18 19:16:25 | 36   | 36   | 9.960758017    | 9.652065522   |
| 316457:6693 | 05/16/18 19:38:28 | 1454 | 1454 | 337.634522304  | 328.131716612 |
| 316469:6694 | 05/17/18 07:48:25 | 629  | 629  | 215.838216050  | 209.162486539 |
| 316470:6694 | 05/17/18 11:54:09 | 476  | 476  | 121.364378078  | 117.210771478 |
| 316472:6694 | 05/17/18 15:00:34 | 333  | 333  | 69.497765357   | 67.587888384  |
| 316505:6696 | 05/18/18 00:24:11 | 1321 | 1321 | 415.656723406  | 402.333399612 |
| 316569:6700 | 05/19/18 02:15:13 | 1926 | 1926 | 512.006212674  | 497.513913410 |
| 316590:6702 | 05/19/18 20:55:25 | 510  | 510  | 195.533247045  | 189.428166011 |
| 316613:6706 | 05/20/18 07:52:22 | 193  | 193  | 32.573259893   | 31.906395921  |
| 316615:6706 | 05/20/18 09:12:45 | 338  | 338  | 50.730329412   | 49.805303930  |
| 316666:6709 | 05/20/18 21:51:33 | 981  | 981  | 291.243809062  | 280.093675189 |
| 316667:6709 | 05/21/18 04:15:41 | 197  | 197  | 43.817251843   | 42.344040189  |
| 316700:6710 | 05/21/18 11:45:22 | 311  | 311  | 121.864690730  | 114.424167660 |
| 316701:6710 | 05/21/18 14:12:33 | 479  | 479  | 151.013121920  | 144.267729371 |
| 316702:6710 | 05/21/18 17:21:19 | 388  | 388  | 98.800295648   | 95.853056452  |
| 316715:6711 | 05/22/18 01:10:33 | 13   | 13   | 3.352842089    | 3.001857925   |
| 316716:6711 | 05/22/18 01:30:21 | 181  | 181  | 69.769065517   | 61.828976093  |
| 316717:6711 | 05/22/18 02:44:00 | 192  | 192  | 66.699265595   | 63.462867207  |
| 316718:6711 | 05/22/18 04:00:35 | 348  | 348  | 104.034337635  | 99.546001101  |
| 316719:6711 | 05/22/18 06:17:36 | 136  | 136  | 35.483722967   | 32.542348404  |
| 316720:6711 | 05/22/18 07:16:06 | 182  | 182  | 43.308678056   | 41.884775850  |
| 316721:6711 | 05/22/18 08:29:42 | 15   | 15   | 3.358468565    | 3.273533461   |
| 316722:6711 | 05/22/18 08:45:58 | 751  | 751  | 140.586025406  | 135.484321205 |
